A_23_P342744,A_24_P246891,A_23_P24535,A_23_P75362,A_32_P76399,A_23_P102973,A_23_P133332,A_23_P257335,A_24_P192988,A_23_P151106,A_23_P120970,A_24_P810290,A_23_P131825,A_23_P206684,A_32_P32061,A_23_P79122,A_23_P368278,A_23_P13344,A_23_P401709,A_24_P67308,A_23_P430381,A_24_P297119,A_23_P320530,A_24_P649282,A_23_P27229,A_24_P766208,A_23_P147255,A_24_P380679,A_23_P256773,A_23_P75529,A_32_P230828,A_23_P104641,A_23_P101871,A_24_P63563,A_23_P436369,A_23_P325690,A_24_P216765,A_23_P359245,A_23_P57370,A_24_P7085,A_23_P119295,A_23_P123555,A_23_P304386,A_32_P49616,A_23_P65068,A_24_P12932,A_23_P251680,A_24_P91472,A_23_P168443,A_23_P71981,A_24_P386323,A_24_P327050,A_23_P27075,A_23_P77031,A_23_P104676,A_23_P163955,A_23_P50919,A_24_P310009,A_23_P131394,A_24_P690983,A_23_P41716,A_32_P215714,A_23_P254741,A_23_P98605,A_23_P90383,A_23_P31064,A_24_P303454,A_24_P271542,A_32_P155506,A_24_P257359,A_23_P150069,A_23_P388914,A_24_P116710,A_23_P1926,A_23_P635,A_23_P38887,A_23_P154605,A_23_P7744,A_23_P207387,A_23_P146908,A_23_P21485,A_23_P69431,A_23_P44794,A_23_P430181,A_23_P113184,A_24_P289029,A_23_P138881,A_23_P113623,A_23_P29318,A_23_P106822,A_23_P14886,A_23_P164421,A_23_P3562,A_23_P132248,A_24_P395042,A_23_P6456,A_23_P112548,A_23_P17354,A_23_P60324,A_23_P83976,SurvivalDays
-0.26694,1.6155,1.252,-0.24827,-0.50702,-0.17306,0.0089297,0.71642,0.92606,0.23035,0.39719,0.79772,0.17587,-0.020356,0.10769,-0.29362,-0.48691,-0.43394,0.66975,-0.45482,-0.2671,1.1229,-0.19437,1.0429,-0.24187,-0.59964,-0.87489,-0.71446,0.1827,0.7642,-0.50999,-0.37323,0.58364,-0.18681,-0.87003,0.95322,-0.34686,-0.0071373,0.090388,-0.33311,-0.33728,-0.34133,0.23176,-0.069547,0.36876,-0.60743,0.34929,0.24572,0.87585,0.32981,-1.412,-0.16606,-0.08579,-0.03296,-0.11462,0.049759,1.3158,-0.26044,0.28286,0.89897,0.12934,-0.28845,0.29582,-0.68939,-0.80263,2.5796,-0.39816,-0.14976,-0.32145,-0.24749,-0.22818,-0.052742,-0.65567,0.11224,0.083497,-0.0061307,-0.047515,0.40204,-0.33514,-0.0041485,-0.32929,-0.74757,-0.54015,-0.6771,0.0061202,0.044832,0.58998,0.18555,0.21129,0.15422,0.12336,0.12455,-0.48358,0.23859,-0.31229,-0.029903,0.34257,-1.1351,0.17844,1.1754,710
-0.50568,0.038232,-0.13844,-0.2168,-0.10091,-0.29091,0.015132,-0.2826,0.20231,-0.3975,-0.82262,-0.53748,1.0124,0.05333,-0.61802,-0.17881,-0.23049,-0.2576,-0.23692,-0.47578,-0.33821,-0.65228,0.42132,-1.1319,1.5654,-0.11873,0.25614,0.55497,-0.075688,0.015873,-0.36343,-2.5336,0.12568,-0.60347,0.21157,0.83872,-0.046574,1.4739,-0.3759,-0.41437,-0.2908,0.1074,-0.46977,0.0014572,0.37563,-0.23587,-0.35901,-1.3243,0.014343,-0.21917,-0.076611,0.12591,-0.21179,-0.11939,-0.40453,-0.22846,-0.26483,1.3957,0.21962,-0.29305,-0.65743,-0.2479,0.33381,0.056829,-0.41444,-0.44619,2.0927,-0.052516,-0.29926,-0.49119,0.36262,-0.28304,-0.95827,-0.26291,-0.33052,-0.21699,-1.2046,-0.52474,-0.55388,0.056142,-0.033522,-0.25793,-0.1695,-1.0159,0.078599,0.044288,-0.17195,-0.16569,-0.39549,-0.46088,0.0498,0.13089,-0.46693,-0.38212,-0.047728,-0.33285,0.61921,0.67866,-0.43506,0.076798,175
0.107,-0.014531,0.26592,-1.0106,-0.35904,-0.021904,0.29028,-2.1062,0.40729,0.055356,-0.10062,-0.95469,0.26438,-0.48653,-0.2229,0.59745,0.20071,-0.33064,0.40441,0.41401,-0.23534,-0.0031071,-0.14863,-1.4036,-0.11995,-0.34897,-0.67092,1.1451,-0.22117,-0.44631,-0.040421,-0.25419,1.5043,0.070016,0.41662,-0.28419,-0.21208,-3.328,0.56331,-0.15723,0.070405,-0.14776,-0.34035,-0.64834,1.6346,-0.404,-0.10049,0.084847,0.91559,-0.25037,0.35451,-0.32819,-0.64182,1.6088,-0.078846,0.18621,-0.42195,-3.8136,0.050987,-0.22384,0.12773,-0.53221,0.2506,-0.41235,0.000471,3.8054,0.09524,-0.28467,-2.6351,0.019317,-0.69477,-0.0214,-0.20391,-0.10421,-0.30502,0.32037,0.45046,0.16197,-0.5519,-0.24411,0.26785,0.015129,-2.8749,-0.49929,-0.23586,-0.17488,1.0976,0.079851,-0.052109,-0.10966,-0.353,0.055074,0.13051,0.27422,-0.13681,0.21888,0.032603,-1.7936,-0.32001,0.63135,386
-0.26827,-0.13321,-0.0058694,0.90257,-0.17301,1.0069,-0.74695,0.38651,0.13313,0.61034,-0.58707,0.83012,0.10825,0.64481,-0.83515,0.35364,-0.51512,0.60328,-0.37537,0.49095,0.14116,-0.70258,-0.77063,-6.2101,-1.5765,0.11274,1.0929,-0.18728,0.23712,0.60328,0.12342,0.44335,1.5454,-0.16749,-0.31865,1.047,0.68806,0.71465,0.87467,0.99534,0.55076,0.75193,0.75693,0.59971,-0.18517,0.89053,1.016,0.7125,0.03969,-0.069386,0.51484,0.13434,0.17225,1.1492,0.55397,0.61324,-0.60353,-3.6037,0.12402,1.2118,1.1566,-0.016709,0.070244,0.33306,0.53611,0.675,-0.63573,1.0983,-0.073461,0.55953,0.66998,0.8093,-0.51722,0.94752,0.58899,0.79564,1.0573,-1.6425,0.63135,-0.60284,0.21086,-0.65126,1.1725,0.0059795,-0.18415,-0.60615,1.6661,-0.99726,0.39692,0.5943,0.37055,-0.042073,0.29258,1.024,0.42176,1.0654,0.97098,0.31427,0.51487,-1.3786,419
-1.1082,0.22241,1.5648,-0.26826,-1.0988,0.74637,-1.5799,-0.79053,0.63532,-1.879,-1.2852,-0.062856,1.2688,-1.0048,-0.99395,-0.11869,-1.0534,-0.33701,0.000197,-0.59819,-1.551,0.006887,-0.38959,-1.5757,0.84395,-0.56442,-0.82547,1.8469,-1.4566,-0.50369,-0.34128,-1.534,0.65467,-1.1535,-0.040675,-1.1057,-1.1107,-1.0474,-1.3083,-0.146,-1.2612,-0.47762,-0.24019,-0.45215,-0.43254,-0.52327,-0.88625,-1.1164,0.89996,-0.46101,-1.0368,-0.52315,-0.65196,0.025345,-1.0707,-1.2886,-1.1573,-1.2992,0.088302,-0.075667,-0.71452,-0.31752,-0.27812,-0.73233,-0.5452,-1.18,-1.5941,-0.80603,-2.2074,-0.49447,-0.014364,0.67199,-1.0224,-1.0735,-1.2696,-0.17113,-0.42742,-1.8423,-0.8699,-0.42127,-1.4825,-1.0142,0.35718,-1.1907,-0.036316,-0.95188,0.68741,-1.6531,-1.6339,-0.94319,-1.0961,-1.0589,-0.8858,-0.40334,-0.62241,-1.0579,-0.089662,-0.4244,-1.121,0.079412,414
0.037688,-0.58765,-0.46381,-0.49211,-0.098425,0.068654,-0.18397,0.51582,-0.88327,-0.035717,-0.28191,0.030534,0.7338,0.52567,0.12447,-0.2461,0.10772,0.43509,0.42228,0.053381,-0.26954,1.3758,0.055012,1.1864,0.13448,0.27317,0.066572,0.46845,-0.14376,-0.18864,-0.36337,0.13988,-0.61476,-0.56516,-0.57856,0.36396,-0.40077,-0.35873,-0.014495,-0.10756,0.047928,0.017932,-0.29909,0.27695,-0.7437,-0.16481,-0.20966,-0.26366,0.44224,-0.10075,-0.04411,-0.51761,-0.34809,0.22147,0.059805,0.062181,-0.2264,1.378,-0.23606,-0.52051,-0.07134,0.0040479,-0.88348,0.019919,0.44067,-1.52,1.1991,0.19677,-0.49142,-0.0078297,0.061113,0.37752,-0.85212,-0.17191,0.4295,0.082651,0.17399,-0.11134,-0.93861,0.29513,-0.79757,0.015484,0.32119,0.13464,-0.051308,-0.40497,-0.22613,0.1254,-0.24745,0.12316,0.0038791,-0.030582,-0.1704,-0.24674,-0.14475,0.21518,-0.31589,0.079425,-0.12588,-0.84418,559
0.10285,1.4297,-0.50177,0.65172,1.1922,0.40837,0.3831,0.52967,-0.71428,0.76522,0.47803,0.099578,1.2761,0.32521,-0.35023,0.96991,0.96698,1.5122,0.2972,0.96069,0.69151,0.12394,-0.47858,0.35678,0.55683,0.88031,0.64625,-0.83318,0.98472,0.42827,1.8532,1.4684,-0.43752,0.26959,-0.27107,1.2171,0.5883,-0.27346,0.46548,1.5676,0.86044,0.5847,0.79912,0.98918,-0.68119,0.57347,0.79667,1.1975,-0.9448,0.52693,0.67022,0.71057,0.94579,-1.1219,0.53328,0.94303,0.43577,1.1446,0.47307,-0.32219,0.79882,0.56482,-0.098979,1.039,1.6891,-0.74356,1.1144,1.4291,0.47551,0.96804,0.50194,0.76897,0.91565,0.55387,0.48795,0.6941,-0.58324,-0.19037,0.42016,0.34546,0.40795,0.73604,0.084096,0.18429,0.71938,0.91548,-0.46309,0.26927,0.39433,0.27148,0.017614,0.065644,0.39834,0.77071,0.66028,0.46581,0.28075,2.075,0.57207,-1.267,1299
1.034,2.5315,-2.5493,0.45155,0.62916,0.49973,0.18536,0.60221,-1.0008,0.73462,0.51823,1.6592,-1.7649,0.62034,2.6739,-0.27855,0.38289,0.97232,0.12527,0.6562,-0.096469,0.86395,0.17059,0.53454,-1.1359,-0.04558,0.96217,-0.22817,0.76979,0.35433,1.0565,0.2429,-0.89785,0.27902,-0.38196,-4.4505,0.7698,-1.4477,1.0741,0.40719,0.093457,-0.94604,0.23347,0.81456,0.16323,0.28833,-0.31305,0.46617,-1.097,0.048805,2.2599,0.40841,-0.51643,-0.18657,-0.10097,0.60529,1.3444,1.8208,0.76307,1.9662,0.99794,0.74123,-3.8345,0.21496,0.37192,-2.2111,-2.9262,0.34724,0.51085,0.3778,0.41982,0.19812,0.53876,-0.014906,0.36544,0.18388,0.2827,1.4008,-0.037801,0.7058,-0.27081,0.66394,2.308,-0.17476,-0.23323,-0.78436,0.000447,0.35076,0.65641,0.91043,0.23428,0.40897,0.044604,-0.022695,-0.18543,0.94794,-1.0394,-0.90155,2.5787,0.09867,1407
-0.0049677,1.0692,-0.79588,-0.16545,0.15474,0.22665,0.099411,0.48914,-0.72101,0.021052,0.44009,0.86522,-0.39525,-0.11853,-0.08148,-0.11002,0.35504,0.47826,0.29299,0.1857,0.11436,0.8433,-0.074566,0.82805,-0.15741,0.40952,-0.44003,0.076396,-0.17584,-0.40998,0.078743,0.0081234,-0.65519,-0.074227,-1.1315,-0.83939,-0.20427,-0.35717,0.18423,-0.096738,-0.41745,0.63481,0.11469,0.084213,-0.86632,0.46663,0.54012,0.077231,0.3209,-0.02155,-0.071289,-0.086872,0.56764,0.41768,-0.27709,0.46945,-0.63885,1.4673,-0.25654,-0.11332,0.000166,-0.10719,-1.0786,0.20678,0.33101,-0.61808,0.20452,-0.094853,-0.50699,-0.0069513,0.36302,-0.0043101,0.0093274,-0.0035214,0.063119,0.29736,0.0012102,0.17548,-0.39448,0.62338,0.088433,0.15237,-0.063906,0.1025,-0.15152,0.050407,0.08638,-0.060998,0.083441,0.081687,0.25695,0.2335,0.000433,0.07751,-0.14523,0.34875,-0.56722,-0.52938,-0.035003,-1.0482,694
-0.34433,-0.56852,0.58211,-1.2632,-1.3063,-0.023503,-1.5536,-0.41053,0.18204,-0.93036,-2.5162,-0.46336,0.88971,-1.8358,-0.15926,-0.91008,-0.38635,0.014182,-0.75878,-1.0332,-0.27989,0.048077,0.19331,-4.3292,-0.015912,-1.0876,-0.5565,1.6522,-1.1636,-0.37577,-1.0452,-1.0126,0.25041,-0.74344,0.50582,-2.5064,-1.8305,6.4271,-1.0371,-0.47186,-1.0343,1.2575,-0.31875,-0.4183,-1.9095,-1.3284,-2.3883,-1.3729,1.2495,-0.24889,-1.0591,-0.4774,-1.5447,-0.70957,-1.0129,-1.3308,-0.93392,-1.3711,0.07519,-0.69415,-1.5086,-0.37665,-2.3202,-0.46568,-0.82542,-1.0573,1.7484,-1.7319,-1.7334,-0.96835,0.17487,0.30394,-0.30942,-1.4513,-0.47142,-0.80684,-1.7985,-2.9004,-0.87588,-0.154,-2.4027,-1.3286,-1.1358,-0.6142,-0.47705,-0.60317,0.52887,-1.0262,-2.3187,-1.6889,-1.4461,-1.1592,-0.37751,-1.1466,-2.1032,-0.95066,0.50341,-1.2002,-1.1946,-0.60387,162
